libcodec2-1.2	libc6 (>= 2.32)	
libcolord2	libc6 (>= 2.29), libglib2.0-0t64 (>= 2.80.0), liblcms2-2 (>= 2.6), libudev1 (>= 196)	
libcom-err2	libc6 (>= 2.38)	
libcpuinfo0	libc6 (>= 2.34)	
libcrypt-urandom-perl	perl (>= 5.42.2-3), perlapi-5.42.2, libc6 (>= 2.25)	
libcrypt1	libc6 (>= 2.38)	
libcryptsetup12	libblkid1 (>= 2.24.2), libc6 (>= 2.38), libdevmapper1.02.1 (>= 2:1.02.197), libjson-c5 (>= 0.15), libssl3t64 (>= 3.2.0), libuuid1 (>= 2.16)	
libctf-nobfd0	libc6 (>= 2.14), zlib1g (>= 1:1.2.0)	
libctf0	libbinutils (= 2.47-2), libc6 (>= 2.33), zlib1g (>= 1:1.2.0)	
libcups2t64	libavahi-client3 (>= 0.6.16), libavahi-common3 (>= 0.6.16), libc6 (>= 2.38), libgnutls30t64 (>= 3.8.1), libgssapi-krb5-2 (>= 1.17), zlib1g (>= 1:1.2.0)	
libcurl4-gnutls	libnghttp3-9 (>= 1.11.0~), libngtcp2-16 (>= 1.20.0), libbrotli1 (>= 0.6.0), libc6 (>= 2.43), libgnutls30t64 (>= 3.8.6), libgssapi-krb5-2 (>= 1.17), libidn2-0 (>= 2.0.0), libldap2 (>= 2.6.2), libnettle8t64, libnghttp2-14 (>= 1.50.0), libngtcp2-crypto-gnutls8 (>= 1.22.0), libpsl5t64 (>= 0.16.0), libssh2-1t64 (>= 1.11.1), libzstd1 (>= 1.5.5), zlib1g (>= 1:1.2.3.4)	ca-certificates
libcurl4t64	libnghttp3-9 (>= 1.11.0~), libngtcp2-16 (>= 1.20.0), libbrotli1 (>= 0.6.0), libc6 (>= 2.43), libgssapi-krb5-2 (>= 1.17), libidn2-0 (>= 2.0.0), libldap2 (>= 2.6.2), libnghttp2-14 (>= 1.50.0), libngtcp2-crypto-ossl0 (>= 1.24.0), libpsl5t64 (>= 0.16.0), libssh2-1t64 (>= 1.11.1), libssl3t64 (>= 3.2.0), libzstd1 (>= 1.5.5), zlib1g (>= 1:1.2.3.4)	ca-certificates
libdata-dump-perl	perl:any	
libdatrie1	libc6 (>= 2.14)	
libdav1d7	libc6 (>= 2.34)	
libdb5.3t64	libc6 (>= 2.38)	
libdbus-1-3	libc6 (>= 2.38), libsystemd0	
libdc1394-25	libc6 (>= 2.34), libraw1394-11 (>= 2.1.2), libusb-1.0-0 (>= 2:1.0.9)	
libdconf1	libc6 (>= 2.14), libglib2.0-0t64 (>= 2.80.0)	
libde265-0	libc6 (>= 2.32), libgcc-s1 (>= 3.0), libstdc++6 (>= 12)	
libdebconfclient0	libc6 (>= 2.38)	
libdecor-0-0	libc6 (>= 2.38), libwayland-client0 (>= 1.20.0)	default-libdecor-0-plugin-1 | libdecor-0-plugin-1
libdecor-0-plugin-1-gtk	libc6 (>= 2.38), libcairo2 (>= 1.14.0), libdbus-1-3 (>= 1.10), libdecor-0-0 (= 0.2.5-1+b1), libglib2.0-0t64 (>= 2.12.0), libgtk-3-0t64 (>= 3.19.12), libwayland-client0 (>= 1.20.0), libwayland-cursor0 (>= 1.0.2)	
libdeflate0	libc6 (>= 2.14)	
libdevmapper1.02.1	libc6 (>= 2.38), libselinux1 (>= 3.1~), libudev1 (>= 183), dmsetup (>= 2:1.02.205-2+b2~)	
libdisplay-info3	libc6 (>= 2.27)	
libdjvulibre-text		
libdjvulibre21	libc6 (>= 2.38), libgcc-s1 (>= 3.0), libjpeg62-turbo (>= 1.3.1), libstdc++6 (>= 14), libdjvulibre-text (>= 3.5.30-1)	
libdnnl3.6	libc6 (>= 2.38), libgcc-s1 (>= 3.3.1), libgomp1 (>= 4.9), libstdc++6 (>= 14)	
libdrm-amdgpu1	libc6 (>= 2.38), libdrm2 (>= 2.4.108)	
libdrm-common		
libdrm-intel1	libc6 (>= 2.34), libdrm2 (>= 2.4.108), libpciaccess0	
libdrm2	libdrm-common (>= 2.4.134-3), libc6 (>= 2.38)	
libdvdnav4	libc6 (>= 2.4), libdvdread8t64 (>= 6.1.0)	
libdvdread8t64	libc6 (>= 2.34)	
libebur128-1	libc6 (>= 2.29)	
libedit2	libbsd0 (>= 0.1.3), libc6 (>= 2.42), libtinfo6 (>= 6)	
libegl-mesa0	libgbm1 (= 26.1.6-1), mesa-libgallium (= 26.1.6-1), libc6 (>= 2.38), libdrm2 (>= 2.4.134-3~), libexpat1 (>= 2.0.1), libgcc-s1 (>= 3.4), libwayland-client0 (>= 1.24.0), libx11-6, libx11-xcb1, libxcb-dri3-0 (>= 1.13), libxcb-present0, libxcb-randr0 (>= 1.3), libxcb-shm0, libxcb-xfixes0, libxcb1 (>= 1.6)	
libegl1	libc6 (>= 2.38), libglvnd0 (= 1.7.0-3+b1), libegl-mesa0	
libelf1t64	libc6 (>= 2.38), libzstd1 (>= 1.5.5), zlib1g (>= 1:1.1.4)	
libencode-locale-perl	perl:any	
libepoxy0	libc6 (>= 2.34)	
liberror-perl	perl:any	
libevent-core-2.1-7t64	libc6 (>= 2.38)	
libexpat1		
libffi-dev	libffi8 (= 3.8.0-2)	
libffi8	libc6 (>= 2.38)	
